time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-06T10:11:24.790Z,51.779099,-1.3329077,15.13,0.57,ml,16,88,0.052,0.16,ci,ci39840352,2021-04-06T10:15:13.084Z,"9km S of Idyllwild, CA",earthquake,0.53,0.83,0.147,6,automatic,ci,ci
2021-04-06T10:07:46.647Z,-29.6879,-176.6077,10,5.3,mb,,62,1.233,0.45,us,us6000dze0,2021-04-06T10:27:40.040Z,Kermadec Islands region,earthquake,9,1.8,0.056,107,reviewed,us,us
